Mass_Component,GB21,GB20,EP19,IC21
M_F,1000040.7,778142.0,18203.8,2982600.0
M_dep,4754.9,2983.5,24.1,3824.5
M_ice,12304.4,30232.2,8.8,511698.5
M_ppt,29532.9,9707.1,143.7,0.0
M_runoff,821266.5,672174.8,17766.0,2409393.4
M_sub,4746.8,4041.8,4.6,36777.3
M_water,196010.8,107090.0,621.4,102802.2
